ID,朝代,题材,设色,材质（出版）,形制,色彩1,占比1,色彩2,占比2,色彩3,占比3,色彩4,占比4,色彩5,占比5,色彩6,占比6,色彩7,占比7,色彩8,占比8,色彩9,占比9,色彩10,占比10,色彩11,占比11,色彩12,占比12,色彩13,占比13,色彩14,占比14,色彩15,占比15,色彩16,占比16,色彩17,占比17,色彩18,占比18,色彩19,占比19,色彩20,占比20
D017016,宋,山水,水墨,绢本,立轴,C18,0.7324,C31,0.2262,C13,0.026,C4,0.0137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016823,五代,山水,设色,绢本,手卷,0,0,C18,0.1687,C56,0.0074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016789,宋,山水,设色,绢本,册页,0,0,C3,0.0479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016790,宋,山水,设色,绢本,手卷,0,0,C18,0.1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016791,宋,山水,设色,绢本,手卷,C16,0.7014,C53,0.2242,C3,0.0543,C28,0.0176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016792,宋,山水,设色,绢本,团扇,C16,0.405,C5,0.3141,C4,0.2241,C31,0.0429,C24,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016798,宋,山水,设色,绢本,手卷,C53,0.7185,C3,0.2781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016799,宋,山水,设色,绢本,立轴,C29,0.673,C45,0.2588,C53,0.0394,C13,0.0242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016800,宋,山水,设色,绢本,团扇,C53,0.7804,C3,0.2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016787,遼,山水,设色,绢本,立轴,C4,0.6198,C13,0.2114,C3,0.1454,C16,0.0202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016810,宋,山水,设色,绢本,团扇,C4,0.7901,C6,0.0938,C23,0.0635,C13,0.0387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016811,宋,山水,设色,绢本,团扇,C16,0.7256,C18,0.1173,C17,0.1075,C1,0.0229,C31,0.0099,C6,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016812,宋,山水,设色,绢本,团扇,C16,0.5394,C33,0.1444,C17,0.0606,C34,0.0449,C42,0.0379,C35,0.0225,C36,0.0205,C56,0.0182,C37,0.0182,C38,0.0162,C39,0.0152,C20,0.0113,C40,0.0109,C41,0.0078,C1,0.0072,C6,0.0065,C18,0.0054,0,0,0,0,0,0
D016815,宋,山水,设色,绢本,团扇,C42,0.7149,C31,0.1178,C18,0.0727,C17,0.0672,C43,0.0074,C1,0.0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016816,宋,山水,设色,绢本,团扇,0,0,C16,0.15,C53,0.0128,C28,0.0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016819,宋,山水,设色,绢本,团扇,C4,0.6217,C53,0.2153,C31,0.0646,C6,0.0321,C5,0.02,C9,0.0111,C12,0.0106,C22,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016822,宋,山水,设色,绢本,团扇,0,0,C44,0.0468,C45,0.0392,C46,0.0343,C47,0.0098,C43,0.0091,C48,0.0076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016126,宋,山水,设色,绢本,立轴,C17,0.6325,C5,0.2314,C1,0.0769,C10,0.0256,C31,0.0213,C9,0.0081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016696,宋,山水,水墨,纸本,立轴,0,0,C11,0.102,C23,0.0162,C11,0.0156,C2,0.0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D015989,宋,山水,设色,绢本,手卷,C4,0.7201,C5,0.2686,C21,0.0089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D015990,宋,山水,设色,绢本,立轴,0,0,C18,0.1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D015991,宋,山水,设色,绢本,团扇,C9,0.7257,C13,0.115,C3,0.0655,C32,0.0501,C11,0.0146,C2,0.0098,C27,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D015993,宋,山水,水墨,纸本,手卷,0,0,C9,0.1043,C4,0.0421,C23,0.0108,C49,0.0102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D015994,宋,山水,设色,绢本,团扇,C16,0.6666,C4,0.1158,C6,0.0844,C21,0.0813,C3,0.0279,C1,0.0131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D015995,宋,山水,设色,纸本,手卷,C4,0.7184,C5,0.235,C39,0.0229,C21,0.0229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D015997,宋,山水,设色,绢本,立轴,0,0,C13,0.1,C53,0.0673,C31,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D015999,宋,山水,设色,绢本,团扇,C9,0.6579,C4,0.1752,C21,0.1284,C2,0.0232,C23,0.0092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
